,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.578125,0.584375,0.578125,0.5752310189810189,1.1197278
1,0.640625,0.6889694940476191,0.640625,0.657048139768728,1.06071
2,0.609375,0.6365496482683983,0.609375,0.5931873069740716,0.9157826
3,0.5625,0.5882440476190476,0.5625,0.5689905626172074,0.81144863
4,0.671875,0.7341331845238096,0.671875,0.6848397627591706,0.57090163
5,0.65625,0.6594494047619047,0.65625,0.6457990538872892,0.78526795
6,0.671875,0.6796688988095237,0.671875,0.6586132464349376,0.493392
7,0.75,0.7982503607503608,0.75,0.7424450093035619,0.58856034
8,0.703125,0.7127604166666666,0.703125,0.6994698048026853,0.47153795
9,0.703125,0.7364149305555555,0.703125,0.7041440534547152,0.47093564
10,0.671875,0.7018229166666666,0.671875,0.6684961484593838,0.53261244
11,0.640625,0.6982142857142857,0.640625,0.6526076605229567,0.20213553
12,0.6875,0.7198931277056276,0.6875,0.6883099676274018,0.30517358
13,0.6875,0.781281001984127,0.6875,0.7216065208978328,0.17497647
14,0.71875,0.7216179653679653,0.71875,0.704306539049186,0.24410406
15,0.78125,0.804203869047619,0.78125,0.7845643939393939,0.093662456
16,0.671875,0.753720238095238,0.671875,0.6784446022727273,0.06913291
17,0.6875,0.7297991071428571,0.6875,0.6989593229482934,0.07501674
18,0.703125,0.7335985195360195,0.703125,0.7000703646843353,0.06506793
19,0.625,0.671000744047619,0.625,0.6252996745256806,0.03611034
20,0.75,0.8324962797619048,0.75,0.7644886363636363,0.037080683
21,0.75,0.7713541666666667,0.75,0.7494408004276425,0.039791577
22,0.765625,0.7996899801587302,0.765625,0.7710041184305889,0.024117092
23,0.6875,0.7083581349206349,0.6875,0.6879439714482284,0.020706462
24,0.65625,0.7093874007936508,0.65625,0.6577013264513264,0.015823022
25,0.765625,0.7978219696969697,0.765625,0.7663713023088023,0.005921056
26,0.625,0.6543650793650794,0.625,0.6352860552115583,0.004157074
27,0.640625,0.6580109126984127,0.640625,0.6373563323930971,0.0022807878
28,0.703125,0.7375372023809523,0.703125,0.7084027084027084,0.024677787
29,0.734375,0.7656994047619048,0.734375,0.7436128618113912,0.003462614
30,0.71875,0.7219122023809523,0.71875,0.7120718742042271,0.0020940157
31,0.671875,0.7278087797619047,0.671875,0.6756133314569847,0.0022521839
32,0.71875,0.8102678571428571,0.71875,0.7361116770656243,0.0013203856
33,0.6875,0.7287326388888888,0.6875,0.6964087077138548,0.0019546328
34,0.734375,0.7890422077922077,0.734375,0.7417289231397688,0.0012580212
35,0.765625,0.7757874503968254,0.765625,0.7630463643790849,0.0015251669
36,0.71875,0.8069816468253967,0.71875,0.7314592117441382,0.0015542089
37,0.71875,0.7233382936507937,0.71875,0.713546235380117,0.0009524507
38,0.703125,0.7520771329365079,0.703125,0.7075888338635049,0.0017031422
39,0.609375,0.6623883928571428,0.609375,0.6212121212121212,0.0030987938
40,0.703125,0.7236483134920635,0.703125,0.7065855508870215,0.0009142781
41,0.78125,0.8141741071428571,0.78125,0.7829522725081935,0.000961701
42,0.703125,0.7725818452380953,0.703125,0.7075593116034292,0.0007634627
43,0.671875,0.6897259424603175,0.671875,0.6732383526077896,0.0014229612
44,0.765625,0.7764756944444444,0.765625,0.7537807168321874,0.0008353073
45,0.78125,0.835641571969697,0.78125,0.779368548118548,0.00092443544
46,0.71875,0.7505208333333333,0.71875,0.7184862012987012,0.000811188
47,0.78125,0.8,0.78125,0.7856297348484849,0.002394025
48,0.75,0.8014322916666666,0.75,0.7611253124616612,0.00069062354
49,0.65625,0.695138888888889,0.65625,0.6510510602462329,0.0021717085
50,0.75,0.765625,0.75,0.7508926046380091,0.0009475413
51,0.734375,0.7569506448412698,0.734375,0.7225791341334105,0.0022560374
52,0.640625,0.6519531249999999,0.640625,0.6340798753942136,0.0006038794
53,0.703125,0.746298363095238,0.703125,0.7088481575613929,0.00050914945
54,0.703125,0.7085565476190475,0.703125,0.694893387862138,0.0010939888
55,0.6875,0.73046875,0.6875,0.6827811716791979,0.00034358614
56,0.78125,0.796124751984127,0.78125,0.776611302166401,0.0012929665
57,0.828125,0.83125,0.828125,0.8242649711399711,0.000488563
58,0.71875,0.7747395833333333,0.71875,0.7293003565062388,0.00034496872
59,0.78125,0.8065972222222222,0.78125,0.785836189577966,0.0006935637
60,0.78125,0.8141307043650794,0.78125,0.7832619127196333,0.0008176727
61,0.8125,0.8189856150793651,0.8125,0.810234057200969,0.00048739827
62,0.6875,0.789124503968254,0.6875,0.700938560520362,0.0008703515
63,0.71875,0.7451264880952381,0.71875,0.714922057109557,0.0007364859
64,0.734375,0.7664620535714286,0.734375,0.7394649060090237,0.00084400317
65,0.765625,0.8132068452380952,0.765625,0.7700863372738374,0.00049419166
66,0.796875,0.8244791666666667,0.796875,0.806340224103382,0.0007321314
67,0.78125,0.7950520833333333,0.78125,0.7787247474747474,0.00046256988
68,0.765625,0.7741815476190477,0.765625,0.7579472610722611,0.0004660171
69,0.734375,0.7982503607503607,0.734375,0.7409422612668549,0.0012842267
70,0.625,0.6417410714285714,0.625,0.6180179195804195,0.0004989832
71,0.609375,0.6630394345238095,0.609375,0.6118610419186077,0.000653435
72,0.6875,0.7145585317460318,0.6875,0.6913052327574386,0.0007273781
73,0.71875,0.7491815476190476,0.71875,0.7151537698412698,0.00048710918
74,0.734375,0.781256764069264,0.734375,0.7480627011877011,0.0007171787
75,0.6875,0.694639475108225,0.6875,0.675068768037518,0.00049129233
76,0.640625,0.6739459325396826,0.640625,0.643892244397759,0.0021369983
77,0.625,0.6663318452380952,0.625,0.6293066651002506,0.0012542268
78,0.734375,0.7792410714285715,0.734375,0.7400644923961488,0.0005743182
79,0.640625,0.6627852182539683,0.640625,0.6403388987173817,0.0015476126
