,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.4375,0.38878348214285713,0.4375,0.40847985933503833,2.1819472
1,0.4375,0.41430574633699635,0.4375,0.410005275727025,2.0117278
2,0.5,0.44198717948717947,0.5,0.4569622269070799,1.8616252
3,0.4375,0.4347385687229437,0.4375,0.4306851784696211,1.8972653
4,0.515625,0.5086805555555556,0.515625,0.4993986276881014,1.7714096
5,0.625,0.6176745129870129,0.625,0.6121248543123543,1.8777394
6,0.515625,0.5459635416666666,0.515625,0.5185267857142857,1.8221521
7,0.6875,0.7435267857142858,0.6875,0.6967960767302872,1.8142883
8,0.640625,0.6760535037878788,0.640625,0.6449678039351951,1.8117547
9,0.71875,0.7467261904761905,0.71875,0.7168269230769231,1.8048117
10,0.640625,0.673828125,0.640625,0.6498015873015873,1.8146427
11,0.671875,0.738783482142857,0.671875,0.6912802072583419,1.8013799
12,0.546875,0.5897817460317459,0.546875,0.5560284078666432,1.6856639
13,0.625,0.7436011904761906,0.625,0.6657742864774115,1.757925
14,0.765625,0.7972470238095237,0.765625,0.7662323353729603,1.6893035
15,0.703125,0.8005022321428571,0.703125,0.7243128832972582,1.7304533
16,0.671875,0.7193080357142857,0.671875,0.6714781746031746,1.6920141
17,0.671875,0.7120535714285715,0.671875,0.6823192509084052,1.7608016
18,0.65625,0.724609375,0.65625,0.6766447368421051,1.6738038
19,0.625,0.6371093750000001,0.625,0.613186420401494,1.7743583
20,0.765625,0.81328125,0.765625,0.7839105135061017,1.6612277
21,0.703125,0.7276041666666667,0.703125,0.7022435897435897,1.7023536
22,0.78125,0.8276785714285714,0.78125,0.7970663068549098,1.703249
23,0.703125,0.7527529761904761,0.703125,0.705642473335488,1.7060905
24,0.6875,0.7345982142857143,0.6875,0.6950247668997669,1.5925474
25,0.734375,0.7676339285714284,0.734375,0.7358728990307939,1.7791944
26,0.671875,0.7367931547619047,0.671875,0.6881788350538349,1.6342521
27,0.640625,0.6658668154761904,0.640625,0.6447219457958622,1.6873102
