,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.046875,0.048650568181818184,0.046875,0.04384469696969697,2.297865
1,0.109375,0.13141459235209235,0.109375,0.10357514217808336,2.2884612
2,0.09375,0.10770089285714285,0.09375,0.10010212418300654,2.2827451
3,0.15625,0.17701907467532468,0.15625,0.1603546626984127,2.2818866
4,0.203125,0.15974893162393164,0.203125,0.17215003563687772,2.263966
5,0.171875,0.1868566176470588,0.171875,0.16151009316770187,2.2623858
6,0.15625,0.150390625,0.15625,0.1429778121184371,2.2877295
7,0.234375,0.17587360556110557,0.234375,0.19677022324081148,2.2197576
8,0.25,0.359672619047619,0.25,0.2551580007002801,2.1796455
9,0.28125,0.2881076388888889,0.28125,0.2591376015289059,2.1982603
10,0.25,0.2984375,0.25,0.24020337301587305,2.2314901
11,0.265625,0.2974668560606061,0.265625,0.23981704059829057,2.214121
12,0.28125,0.3790167297979798,0.28125,0.2546705898268398,2.1909375
13,0.375,0.3736607142857143,0.375,0.34324737762237756,2.1954148
14,0.34375,0.30897253787878787,0.34375,0.31621926834775127,2.1874819
15,0.34375,0.37142180735930735,0.34375,0.3483990106340019,2.151393
16,0.265625,0.2285094246031746,0.265625,0.23347399128649127,2.2182362
17,0.328125,0.26609813797313797,0.328125,0.27856934731934735,2.1946845
18,0.453125,0.5243049918831169,0.453125,0.4674207303113552,2.1399195
19,0.234375,0.22021329365079365,0.234375,0.21318880772005772,2.0926242
20,0.3125,0.2988940746753247,0.3125,0.29599005467571643,2.1370072
21,0.375,0.3093998015873016,0.375,0.3338913771020002,2.1056204
22,0.34375,0.35279017857142864,0.34375,0.33574614669815905,2.1072516
23,0.328125,0.5070008116883117,0.328125,0.3324483676046176,2.1541023
24,0.375,0.3914676902958153,0.375,0.37211151421677735,2.1339636
25,0.421875,0.41305239898989904,0.421875,0.38995658946316836,2.1372309
26,0.4375,0.42879464285714286,0.4375,0.4173672302929269,2.084714
27,0.3125,0.4076501623376623,0.3125,0.307583648989899,2.0915604
28,0.375,0.4283581002331002,0.375,0.37835014572630676,2.0976286
29,0.453125,0.40059523809523806,0.453125,0.4158162629585327,2.0720484
30,0.453125,0.5215959821428571,0.453125,0.43682289932289925,2.0230675
31,0.359375,0.42652529761904767,0.359375,0.35327494358067113,2.1046228
32,0.421875,0.48180578102453103,0.421875,0.3998826694139193,2.0765278
33,0.359375,0.3342199900793651,0.359375,0.3320115214646464,2.107475
34,0.40625,0.5788859577922078,0.40625,0.42904434974747474,2.0126114
35,0.359375,0.36547619047619045,0.359375,0.3442919213139801,2.0663218
36,0.328125,0.3753338675213675,0.328125,0.3132349855006105,2.0945644
37,0.375,0.3957690746753247,0.375,0.3725790268759019,2.0750685
38,0.5,0.5430008793290043,0.5,0.48125532179808495,2.0799181
39,0.28125,0.29342363365800866,0.28125,0.2665129065175021,2.0252695
40,0.34375,0.3787337662337662,0.34375,0.3367628898878899,2.0333352
41,0.421875,0.43245287698412704,0.421875,0.4078895686142204,2.0376825
42,0.40625,0.4102627840909091,0.40625,0.3879922161172161,2.0511336
43,0.34375,0.37845982142857143,0.34375,0.3470113526179703,2.0884855
44,0.4375,0.43810382326007324,0.4375,0.42210301952949003,2.1063073
45,0.40625,0.35416666666666663,0.40625,0.3690590659340659,2.1162057
46,0.359375,0.4641865079365079,0.359375,0.3753558941058941,2.0445938
47,0.484375,0.49797077922077915,0.484375,0.47580770944741535,2.1717596
48,0.515625,0.5352035984848484,0.515625,0.5142975628172997,2.005532
49,0.484375,0.48668323863636365,0.484375,0.4562381450249097,2.028904
50,0.4375,0.4786024305555555,0.4375,0.44759465412038946,2.0764582
51,0.53125,0.5586687184343434,0.53125,0.5284012378874995,2.0392385
52,0.46875,0.468844696969697,0.46875,0.45765234400102817,2.108305
53,0.40625,0.42684151785714286,0.40625,0.39676567949594266,2.0601292
54,0.421875,0.5529401154401153,0.421875,0.4276816933066933,1.9975493
55,0.5,0.5783606150793651,0.5,0.5022197420634921,2.0525062
56,0.421875,0.46178075396825397,0.421875,0.4120858308358307,1.945142
57,0.453125,0.4401785714285714,0.453125,0.4349170437405731,1.9824709
58,0.421875,0.4871961805555555,0.421875,0.392662096890038,2.115641
59,0.421875,0.4906622023809524,0.421875,0.4400240384615384,2.070798
60,0.453125,0.47139813311688306,0.453125,0.4511961722488038,2.0136712
61,0.453125,0.4537202380952381,0.453125,0.4496888528138528,2.13
62,0.328125,0.3846827651515151,0.328125,0.325729393478039,2.0572386
63,0.40625,0.4547483766233766,0.40625,0.39965808293014177,1.9248155
64,0.4375,0.4552951388888889,0.4375,0.4270941068735187,2.0034099
65,0.453125,0.4466517857142857,0.453125,0.4374164212980002,1.9658022
66,0.390625,0.34066896645021644,0.390625,0.3510377087437846,2.0180302
67,0.546875,0.5436011904761904,0.546875,0.5391438422688423,2.0917213
68,0.546875,0.5544909951159951,0.546875,0.538253397144651,2.099584
69,0.46875,0.48149181547619047,0.46875,0.45187312687312686,2.0558205
70,0.4375,0.4650855654761904,0.4375,0.43563398407148407,2.0249808
71,0.390625,0.3857886904761905,0.390625,0.37985321969696967,2.0001345
72,0.578125,0.5819940476190476,0.578125,0.5705083315377433,2.0688043
73,0.46875,0.4924045138888889,0.46875,0.45698349242846525,1.9847906
74,0.453125,0.45917038690476186,0.453125,0.4446772411616161,1.9965682
75,0.578125,0.5588169642857143,0.578125,0.5545033091908091,2.064763
76,0.53125,0.5598484848484849,0.53125,0.5283899295364078,2.0441835
77,0.390625,0.37155877976190477,0.390625,0.3745394770670506,2.075377
78,0.546875,0.6245907738095238,0.546875,0.5636242229992231,2.0092883
79,0.453125,0.46620163690476185,0.453125,0.453606887447348,2.0595279
