,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.125,0.04111842105263158,0.125,0.04910714285714286,2.3078406
1,0.03125,0.002403846153846154,0.03125,0.004464285714285715,2.295742
2,0.078125,0.057870370370370364,0.078125,0.03463168187744459,2.3034863
3,0.09375,0.15910959928229665,0.09375,0.056209845049130756,2.3001528
4,0.0625,0.01970108695652174,0.0625,0.023125000000000003,2.2785506
5,0.109375,0.05180288461538461,0.109375,0.06107456140350877,2.2978306
6,0.109375,0.07144886363636363,0.109375,0.06544237012987013,2.2969756
7,0.171875,0.07635073260073261,0.171875,0.10184041501976285,2.2905822
8,0.171875,0.08908739276960784,0.171875,0.11489676788589831,2.3053288
9,0.203125,0.0837912087912088,0.203125,0.11369047619047619,2.2950675
10,0.15625,0.04970988063660478,0.15625,0.07425595238095238,2.2985349
11,0.1875,0.2268349358974359,0.1875,0.145390625,2.2888155
12,0.15625,0.0656467013888889,0.15625,0.0894459706959707,2.2902122
13,0.1875,0.05746336996336996,0.1875,0.08792892156862746,2.2883978
14,0.234375,0.11092375129399586,0.234375,0.14215593434343432,2.294949
15,0.296875,0.1448369565217391,0.296875,0.18675595238095238,2.2932372
16,0.109375,0.020127560133365086,0.109375,0.03343626482213438,2.2943096
17,0.25,0.10014058857808857,0.25,0.13570845004668533,2.2768085
18,0.171875,0.07107944139194139,0.171875,0.09717261904761904,2.2752104
19,0.234375,0.09664828431372549,0.234375,0.13664402173913043,2.2708616
20,0.1875,0.08558238636363637,0.1875,0.111492673992674,2.282893
21,0.28125,0.23225911458333331,0.28125,0.17946168414918418,2.2730274
22,0.203125,0.05694351604278075,0.203125,0.08669871794871795,2.269864
23,0.28125,0.10650275735294118,0.28125,0.1524621212121212,2.2904997
24,0.28125,0.18387784090909093,0.28125,0.20543697405329592,2.2760873
25,0.21875,0.08802420489726992,0.21875,0.12016369047619047,2.255725
26,0.203125,0.06607142857142857,0.203125,0.09493195757730641,2.2753005
27,0.1875,0.06534090909090909,0.1875,0.08688186813186813,2.2780008
28,0.265625,0.12256095259661837,0.265625,0.15557035469274558,2.2631888
29,0.25,0.08210437424516909,0.25,0.12012644003014643,2.2739172
30,0.171875,0.06346606182795698,0.171875,0.08611111111111111,2.2831178
31,0.203125,0.1435060025659824,0.203125,0.13603783164808572,2.2249582
32,0.1875,0.0715435606060606,0.1875,0.0917453560371517,2.274285
